-3.0727732,-59.9909709,0
-3.0727643308338974,-59.990972390631995,0
-3.072755692850658,-59.99097489682423,1
-3.0727468378635088,-59.990976469725325,2
-3.0727596681389175,-59.990964689502476,1
-3.072737979560155,-59.99097802378697,3
-3.0727384105535402,-59.990973325434965,3
-3.0727297224814145,-59.99097099935328,6
-3.0727222600488173,-59.990976025524056,7
-3.072713376007104,-59.99097742449967,8
-3.0727046488629335,-59.990975250046496,9
-3.072695854649631,-59.99097336597689,10
-3.072686861799209,-59.99097344576512,11
-3.072704386722568,-59.990977690343975,9
-3.072698102431375,-59.99096464567422,11
-3.072764574919566,-59.990957141993405,4
-3.072683880002086,-59.99096494905845,12
-3.0726749824296156,-59.99096363915742,16
-3.0727582992331213,-59.99098351645094,2
-3.072723536967323,-59.990964461775135,7
-3.0727236515827476,-59.990955456355096,19
-3.072666218017041,-59.9909616206219,17
-3.0726609644417877,-59.990968930284836,21
-3.0727325317838288,-59.9909568795752,20
-3.072686587009223,-59.99098244771113,12
-3.0727624572586403,-59.990991502173976,18
-3.0727069130708515,-59.990962840209,14
-3.0727627873375267,-59.991000502257556,25
-3.0727385130051155,-59.9909870140808,5
-3.0726520347289323,-59.99096786200873,22
