-3.0727643308338974,-59.990972390631995
-3.072755692850658,-59.99097489682423
-3.0727468378635088,-59.990976469725325
-3.0727384105535402,-59.990973325434965
-3.0727297224814145,-59.99097099935328
-3.0727222600488173,-59.990976025524056
-3.072713376007104,-59.99097742449967
-3.0727046488629335,-59.990975250046496
-3.072695854649631,-59.99097336597689
-3.072686861799209,-59.99097344576512
-3.072683880002086,-59.99096494905845
-3.0726749824296156,-59.99096363915742
-3.072666218017041,-59.9909616206219
-3.0726609644417877,-59.990968930284836
-3.0726520347289323,-59.99096786200873
